"data_year","state_id","state_abbr","total_population","total_agencies","participation_agencies","covered_agencies","population_covered","nibrs_participating_agencies","nibrs_population"
1966,31,"NE",1642133,366,120,0,0,0,0
1966,32,"NC",5325574,854,144,0,0,0,0
1966,33,"ND",723415,153,61,0,0,0,0
1966,34,"NH",730519,267,45,0,0,0,0
1966,35,"NJ",7329085,699,325,0,0,0,0
1966,36,"NM",1333677,178,59,0,0,0,0
1966,37,"NV",473847,81,24,0,0,0,0
1966,38,"NY",19289853,1277,367,0,0,0,0
1966,39,"OH",11536938,980,347,0,0,0,0
1966,40,"OK",2911469,524,135,0,0,0,0
1966,41,"OR",2049960,314,91,0,0,0,0
1966,42,"PA",12243426,1984,507,0,0,0,0
1966,43,"PR",2657000,25,1,0,0,0,0
1966,44,"RI",972885,67,30,0,0,0,0
1966,45,"SC",3153000,588,64,0,0,0,0
1966,46,"SD",802510,206,74,0,0,0,0
1966,47,"TN",4452359,642,92,0,0,0,0
1966,48,"TX",11757899,1315,394,0,0,0,0
1966,49,"UT",1218915,216,58,0,0,0,0
1966,50,"VI",0,3,0,0,0,0,0
1966,51,"VA",4927030,512,124,0,0,0,0
1966,52,"VT",439382,109,24,0,0,0,0
1966,53,"WA",3189271,337,110,0,0,0,0
1966,54,"WI",4454095,504,186,0,0,0,0
1966,55,"WV",1899825,556,48,0,0,0,0
1966,56,"WY",358351,95,38,0,0,0,0
1966,57,"MP",0,1,0,0,0,0,0
1966,98,"FS",0,0,0,0,0,0,0
1966,99,"OT",0,0,0,0,0,0,0
1967,1,"AK",272000,55,7,0,0,0,0
1967,2,"AL",4214652,517,93,0,0,0,0
1967,3,"AR",2254651,368,70,0,0,0,0
1967,4,"AS",0,1,0,0,0,0,0
1967,5,"AZ",1794788,180,46,0,0,0,0
1967,6,"CA",19872414,945,389,0,0,0,0
1967,7,"CO",2149781,343,99,0,0,0,0
1967,8,"CT",3101100,132,76,0,0,0,0
1967,9,"CZ",43600,1,0,0,0,0,0
1967,10,"DC",809000,3,1,0,0,0,0
1967,11,"DE",796792,85,13,0,0,0,0
1967,12,"FL",6582773,1249,169,0,0,0,0
1967,13,"GA",5234964,853,108,0,0,0,0
1967,14,"GM",65600,3,0,0,0,0,0
1967,15,"HI",744571,18,7,0,0,0,0
1967,16,"IA",2999944,311,179,0,0,0,0
1967,17,"ID",812189,166,70,0,0,0,0
1967,18,"IL",11741672,1251,386,0,0,0,0
1967,19,"IN",5401744,433,201,0,0,0,0
1967,20,"KS",2416777,489,185,0,0,0,0
1967,21,"KY",3592890,700,134,0,0,0,0
1967,22,"LA",4338291,329,85,0,0,0,0
1967,23,"MA",5674005,531,212,0,0,0,0
1967,24,"MD",3841742,216,51,0,0,0,0
1967,25,"ME",1080435,271,83,0,0,0,0
1967,26,"MI",8745446,893,264,0,0,0,0
1967,27,"MN",3748697,493,209,0,0,0,0
1967,28,"MO",5043751,762,193,0,0,0,0
1967,29,"MS",2590228,275,59,0,0,0,0
1967,30,"MT",771793,162,80,0,0,0,0
1967,31,"NE",1596701,367,115,0,0,0,0
1967,32,"NC",5631321,858,148,0,0,0,0
1967,33,"ND",693268,153,61,0,0,0,0
1967,34,"NH",709699,262,44,0,0,0,0
1967,35,"NJ",7488499,701,400,0,0,0,0
1967,36,"NM",1161778,178,66,0,0,0,0
1967,37,"NV",451394,82,22,0,0,0,0
1967,38,"NY",19630805,1272,362,0,0,0,0
1967,39,"OH",11254055,975,349,0,0,0,0
1967,40,"OK",2854702,518,135,0,0,0,0
1967,41,"OR",2308433,327,103,0,0,0,0
1967,42,"PA",12315404,1973,490,0,0,0,0
1967,43,"PR",2697000,25,0,0,0,0,0
1967,44,"RI",943867,65,31,0,0,0,0
1967,45,"SC",3000648,588,66,0,0,0,0
1967,46,"SD",794255,210,81,0,0,0,0
1967,47,"TN",4645027,640,90,0,0,0,0
1967,48,"TX",11919126,1329,401,0,0,0,0
1967,49,"UT",1190349,209,57,0,0,0,0
1967,50,"VI",0,3,0,0,0,0,0
1967,51,"VA",5003147,514,128,0,0,0,0
1967,52,"VT",480630,115,27,0,0,0,0
1967,53,"WA",3503829,337,111,0,0,0,0
1967,54,"WI",4450931,507,191,0,0,0,0
1967,55,"WV",1976522,560,60,0,0,0,0
1967,56,"WY",337406,94,38,0,0,0,0
1967,57,"MP",0,1,0,0,0,0,0
1967,98,"FS",0,0,0,0,0,0,0
1967,99,"OT",0,0,0,0,0,0,0
1968,1,"AK",277000,55,7,0,0,0,0
1968,2,"AL",4362519,522,94,0,0,0,0
1968,3,"AR",2400364,372,73,0,0,0,0
1968,4,"AS",0,1,0,0,0,0,0
1968,5,"AZ",1757001,180,46,0,0,0,0
1968,6,"CA",20296765,950,453,0,0,0,0
1968,7,"CO",2179445,340,102,0,0,0,0
1968,8,"CT",3094500,131,76,0,0,0,0
1968,9,"CZ",55600,1,0,0,0,0,0
1968,10,"DC",809000,3,1,0,0,0,0
1968,11,"DE",806075,86,13,0,0,0,0
1968,12,"FL",6602225,1245,169,0,0,0,0
1968,13,"GA",5431778,860,113,0,0,0,0
1968,14,"GM",188000,4,1,0,0,0,0
1968,15,"HI",784085,18,7,0,0,0,0
1968,16,"IA",3017659,311,174,0,0,0,0
1968,17,"ID",772817,159,69,0,0,0,0
1968,18,"IL",11775101,1253,371,0,0,0,0
1968,19,"IN",5479821,474,222,0,0,0,0
